,Tweet,positive_match,negative_match,sentiment
0,last week dr jonathon fowles eim canada chair conducted an eim educational mini course at dalhousie university the event was well attended and included students from med physio nursing ot and kinesiology exerciseismedicine exercise university acsm ,['well'],[],positive
1,building on dalhousie university campus closed after chemicals e lokol halifax,[],[],neutral
2,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 ,['modern'],['stupid'],neutral
3,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 ,['modern'],['stupid'],neutral
4,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 ,['modern'],['stupid'],neutral
5,our next postgraduate open day will take place on wednesday 6 november 2019 from 2 7pm in the dalhousie building this pg open day will give you the opportunity to find out about applying funding careers university life and the city find out more here ,[],[],neutral
6,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 ,['modern'],['stupid'],neutral
7,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 ,['modern'],['stupid'],neutral
8,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 ,['modern'],['stupid'],neutral
9,open dialogue edward snowden live from russia dalhousie university via ,[],[],neutral
10,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 ,['modern'],['stupid'],neutral
11,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 ,['modern'],['stupid'],neutral
12,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 ,['modern'],['stupid'],neutral
13,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 ,['modern'],['stupid'],neutral
14, engineering dalhousie university ,[],[],neutral
15,booze is back at dalhousie university s student run bars via ,[],[],neutral
16,our 10th episode of battlerhythm is out stef speaks with elikem tsamenyi phd student at dalhousie university about his research on african security governance ,[],[],neutral
17,when someone in the audience asked dalhousie university neuroscientist dr alon friedman whether his conclusion that canadian diplomats in havana had become ill after exposure to an insecticide ,[],[],neutral
18,when someone in the audience asked dalhousie university neuroscientist dr alon friedman whether his conclusion that canadian diplomats in havana had become ill after exposure to an insecticide ,[],[],neutral
19,when someone in the audience asked dalhousie university neuroscientist dr alon friedman whether his conclusion that canadian diplomats in havana had become ill after exposure to an insecticide ,[],[],neutral
20,now hiring graduate student in plant biology dalhousie university halifax nova scotia canada jobs,[],[],neutral
21,congratulations to riley cook a masters student at dalhousie university riley received the pengrowth nova scotia innovation grant and won the energy3 conference research poster competition for his work with small satellites we wish you continued success in your studies ,"['congratulations', 'masters', 'innovation', 'won', 'work', 'success']",[],positive
22,booze is back at dalhousie university s student run bars ,[],[],neutral
23,after winning the audiencechoiceaward for bestshortfilm in montreal weeping willow is now heading to halifax nov 5 2019 dalhousie university henri hicks academic building cinema shortfilm lebanon lebanese filmmaker films ,['winning'],[],positive
24,after winning the audiencechoiceaward for bestshortfilm in montreal weeping willow is now heading to halifax tuesday nov 5 2019 dalhousie university henri hicks academic building room 217 6299 south ,['winning'],[],positive
25,job opportunity dr sarah burm of dalhousie university is looking for a research coordinator to join a qualitative research study exploring the lived experiences of indigenous medical trainees and practicing physicians see attachment for further details on this opportunity ,[],[],neutral
26,did you know that according to a 2019 dalhousie university survey british columbians are 3x more likely to have plant based diets than canadians in the prairies or atlantic region ,[],[],neutral
27,did you know that according to a 2019 dalhousie university survey british columbians are 3x more likely to have plant based diets than canadians in the prairies or atlantic region ,[],[],neutral
28,unb fredericton students renzo flores and ellen doria won first prize at a mathematics competition held at dalhousie university on oct 26 and 27 ,"['won', 'prize']",[],positive
29,happy worldveganday what percentage of canadians are vegan according to a dalhousie university study ,['happy'],[],positive
30,a memorial gathering for michael cross will be held on 6 december 2019 at 5 00 pm at the dalhousie university club pub you can also make a donation to support an undergraduate essay prize in canadian or labour history named in michaels honour at ,"['support', 'prize']",[],positive
31,happy worldveganday what percentage of canadians are vegan according to a dalhousie university study ,['happy'],[],positive
32,that s according to an analysis of the month s temperature readings by patrick duplessis a weather watcher from dalhousie university ,[],[],neutral
33,happy worldveganday what percentage of canadians are vegan according to a dalhousie university study ,['happy'],[],positive
34,building on dalhousie university campus closed after chemicals enter water supply ,[],[],neutral
35,happy worldveganday what percentage of canadians are vegan according to a dalhousie university study ,['happy'],[],positive
36,happy worldveganday what percentage of canadians are vegan according to a dalhousie university study ,['happy'],[],positive
37,a memorial gathering for michael cross will be held on 6 december 2019 at 5 00 pm at the dalhousie university club pub you can also make a donation to support an undergraduate essay prize in canadian or labour history named in michaels honour at ,"['support', 'prize']",[],positive
38,happy worldveganday what percentage of canadians are vegan according to a dalhousie university study ,['happy'],[],positive
39,a memorial gathering for michael cross will be held on 6 december 2019 at 5 00 pm at the dalhousie university club pub you can also make a donation to support an undergraduate essay prize in canadian or labour history named in michaels honour at ,"['support', 'prize']",[],positive
40,happy worldveganday what percentage of canadians are vegan according to a dalhousie university study ,['happy'],[],positive
41,windsor west hants and kings county will benefit from projects being carried out by students from dalhousie university s management without borders program read all about it here the register advertiser ,['benefit'],[],positive
42,dalhousie university has closed one of the buildings at their halifax campus until further notice after an issue with the buildings heating system caused chemicals to taint its water system ,[],"['issue', 'taint']",negative
43,congratulations to riley cook a masters student at dalhousie university riley received the pengrowth nova scotia innovation grant and won the energy3 conference research poster competition for his work with small satellites we wish you continued success in your studies ,"['congratulations', 'masters', 'innovation', 'won', 'work', 'success']",[],positive
44,the mccain building is closed until at least monday but this is still happening tomorrow the time remains the same but the venue has been changed to the dalhousie university club dining room which happens to be directly upstairs from the pub all welcome ,['welcome'],[],positive
45,we re touring canada and are stopping in halifax on nov 27 join us at the dalhousie university club for our youth innovation mastermindenabling young innovators stakeholders amp executive mentors to share new ideas and solutions for canada s 2030agenda ,['innovation'],[],positive
46,a memorial gathering for michael cross will be held on 6 december 2019 at 5 00 pm at the dalhousie university club pub you can also make a donation to support an undergraduate essay prize in canadian or labour history named in michaels honour at ,"['support', 'prize']",[],positive
47,a memorial gathering for michael cross will be held on 6 december 2019 at 5 00 pm at the dalhousie university club pub you can also make a donation to support an undergraduate essay prize in canadian or labour history named in michaels honour at ,"['support', 'prize']",[],positive
48,after winning the audiencechoiceaward for bestshortfilm in montreal weeping willow is now heading to halifax tuesday nov 5 2019 dalhousie university henri hicks academic building room 217 6299 south ,['winning'],[],positive
49,after winning the audiencechoiceaward for bestshortfilm in montreal weeping willow is now heading to halifax nov 5 2019 dalhousie university henri hicks academic building cinema shortfilm lebanon lebanese filmmaker films ,['winning'],[],positive
50,honored to have dr mark crowther give our annual hayne langley lecture at dalhousie university he emphasizes the need to have mentors that dont take it easy on you ,"['honored', 'easy']",[],positive
51,dalhousie university has closed one of the buildings at their halifax campus until further notice after an issue with the buildings heating system caused chemicals to taint its water system ,[],"['issue', 'taint']",negative
52,visiting speaker dr adam gillespie dalhousie university more w ecosearch news web ,[],[],neutral
53,marion mccain arts and social science building dalhousie university is temporary closed due to a mechanical issue no students or faculty allowed into building no emergency crews on scene only campus police ,[],"['issue', 'emergency']",negative
54,building on dalhousie university campus closed after chemicals enter water supply ,[],[],neutral
55, she was also a law professor my first year contracts prof and more recently chancellor of dalhousie university one of the most accomplished women in canada ,['accomplished'],[],positive
56,dalhousie university has closed one of the buildings at their halifax campus until further notice after an issue with the buildings heating system caused chemicals to taint its water system ,[],"['issue', 'taint']",negative
57,billy mcquaid wins the top ems research award at dalhousie university ems research day the dr ron stewart award being presented by dr stewart himself billy is a graduate of the upei bsc in paramedicine program and our first honor student way to go great day for upei ,"['wins', 'top', 'award', 'honor', 'great']",[],positive
58,dalhousie university has closed one of the buildings at their halifax campus until further notice after an issue with the buildings heating system caused chemicals to taint its water system ,[],"['issue', 'taint']",negative
59,dalhousie university has closed one of the buildings at their halifax campus until further notice after an issue with the buildings heating system caused chemicals to taint its water system ,[],"['issue', 'taint']",negative
60, cool that is the technical university of nova scotia tuns since taken over by dalhousie university ,['cool'],[],positive
61,what is vaccine hesitancy why is it important to get vaccinated we inteviewed dr noni macdonald professor of paediatrics infectious diseases at dalhousie university to get answers to these questions and more vaccines vaccinehesitancy sogctalks ,['important'],[],positive
62,are you a mom who lives in ns nb or pei have you given birth in the past 6 months researchers at dalhousie university are interested in learning about what types of information you look for and where you find it related to the birth of your child find out more ,[],[],neutral
63,the mccain building is closed until at least monday but this is still happening tomorrow the time remains the same but the venue has been changed to the dalhousie university club dining room which happens to be directly upstairs from the pub all welcome ,['welcome'],[],positive
